JA,JB,length,DGC_AB,DGC_BA,EGC_AB,EGC_BA,AB capacity,BA capacity,DFFTT_AB,DFFTT_BA,EFFTT_AB,EFFTT_BA
3100070,3100349,10.78260449,1.560620059,0.096319397,1.248369969,0.093124491,156799.9973,125439.9978,6460.426791,574.4281094,6139.58454,558.0741435
3100071,3100072,13.3414617,0.054742947,6.989471973,0.049691293,5.762870887,537600.0213,537600.0213,326.4751296,28933.99436,297.8282037,28342.26458
3100071,3100077,10.2515211,0.189696013,5.26685454,0.382083014,4.340529691,112000,89600,1108.055512,21802.95452,2289.652053,21347.07569
3100072,3100267,2.414016,7.117161118,0.009905238,5.886006114,0.008984183,537600.0213,537600.0213,29462.58322,59.07270165,28947.85354,53.88930127
3100073,3100268,1.464503082,2.229795413,0.013082188,1.845736832,0.012645065,134400.0054,107520.0043,9230.5811,78.01934471,9077.48285,75.79813429
3100074,3100071,16.59233732,0.068082004,0.502554441,0.061805157,0.406620249,537600.0213,537600.0213,406.026386,2080.401413,370.3991459,1999.792141
3100076,3100078,6.324722027,0.038559731,2.012203082,0.037847005,1.657949634,156799.9973,125439.9978,229.96192,8329.824178,226.8315104,8153.93031
3100077,3100202,4.634910904,0.085765235,2.83437892,0.17274665,2.076231082,112000,89600,500.9733213,11733.34752,1035.195964,10211.07222
3100078,3100345,5.520050027,8.020842055,0.033653913,6.630777895,0.033031188,156799.9973,125439.9978,33203.50946,200.7046788,32610.70132,197.9725401
3100079,3100073,1.126540781,0.010063221,0.758613855,0.009726121,0.625910358,492800.0108,492800.0108,60.01487781,3140.398744,58.30625449,3078.277742
3100079,3100136,6.083320274,0.054341392,5.301966887,0.052537286,4.37130066,492800.0108,492800.0108,324.0803432,21948.30748,314.8537772,21498.40978
3100080,3100234,23.83438532,0.145310337,6.027836182,0.142639203,4.965904131,112000,89600,866.5995102,24953.15509,854.8027248,24422.71776
3100080,3100074,11.00791321,0.16197961,2.784595225,0.159249099,2.294041569,112000,89600,966.0114585,11527.26026,954.3194516,11282.28185
