<NUMBER OF ZONES> 132											
<NUMBER OF NODES> 28290											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 56130
<END OF METADATA>											
											
											
~	Init Node	Term Node	capacity	length	free flow time	B	power	SpeedLimit	Toll	Type	;
	243	5600095	156799.9973	6.694870794	0.01014963	1	4	0	0	1	;
	244	5600024	112000	8.159374356	0.012423184	1	4	0	0	1	;
	245	2000387	112000	27.02088723	0.000499982	1	4	0	0	1	;
	246	2000206	134400.0054	7.901878794	4.81734E-05	1	4	0	0	1	;
	246	4000231	134400.0054	22.51472219	0.004714443	1	4	0	0	1	;
	247	4801198	112000	23.9309451	0.000145894	1	4	0	0	1	;
	248	4800002	134400.0054	31.73626257	0.013867365	1	4	0	0	1	;
	250	4000002	156799.9973	25.8782514	0.004919458	1	4	0	0	1	;
	252	4000222	112000	25.18623299	0.000466034	1	4	0	0	1	;
	253	4000065	112000	23.85047759	0.000441318	1	4	0	0	1	;
	255	4000039	156799.9973	41.95559759	0.000172147	1	4	0	0	1	;
	256	4000061	156799.9973	5.890199178	3.59093E-05	1	4	0	0	1	;
	257	3500099	112000	45.89849162	0.000279818	1	4	0	0	1	;
	260	400077	112000	1.512783356	0.000777188	1	4	0	0	1	;
	261	600496	156799.9973	55.28096394	0.083074918	1	4	0	0	1	;
	261	3200013	156799.9973	54.73378674	0.000224577	1	4	0	0	1	;
	267	4200857	156799.9973	0.354055678	1.45272E-06	1	4	0	0	1	;
	269	3400005	537600.0213	3.379622247	3.01886E-05	1	4	0	0	1	;
	270	4200702	537600.0213	7.177674301	0.008758584	1	4	0	0	1	;
	271	1000045	156799.9973	14.4197223	5.91652E-05	1	4	0	0	1	;
	273	1000018	156799.9973	3.765864822	1.54516E-05	1	4	0	0	1	;
	274	1000003	537600.0213	4.844125425	4.32703E-05	1	4	0	0	1	;
	275	2400019	156799.9973	9.752624548	4.00157E-05	1	4	0	0	1	;
	276	2400183	112000	16.54405589	0.006884539	1	4	0	0	1	;
	277	2400060	112000	0.579363863	0.000907004	1	4	0	0	1	;
	278	2400153	112000	16.10953381	0.000298083	1	4	0	0	1	;
	279	2400060	112000	0.756391678	0.001919472	1	4	0	0	1	;
	280	4200311	156799.9973	14.484096	0.012477302	1	4	0	0	1	;
	281	2400050	156799.9973	9.977932493	0.001220666	1	4	0	0	1	;
	282	5400039	156799.9973	10.460736	0.009603876	1	4	0	0	1	;
	283	5100025	112000	18.05684011	0.01215972	1	4	0	0	1	;
	284	5100373	156799.9973	7.258141808	0.002556734	1	4	0	0	1	;
	285	2400105	112000	2.140427589	0.000406896	1	4	0	0	1	;
	286	5100242	112000	13.38974159	0.011395971	1	4	0	0	1	;
	287	2400039	537600.0213	3.846332329	0.003564399	1	4	0	0	1	;
	289	5400059	112000	10.28370795	0.00538748	1	4	0	0	1	;
	290	5400132	112000	1.577157151	0.002348481	1	4	0	0	1	;
	291	5400133	112000	9.430756055	0.013977045	1	4	0	0	1	;
	292	3900696	112000	0.24140161	0.000936979	1	4	0	0	1	;
	294	5400037	156799.9973	6.131600548	9.02223E-05	1	4	0	0	1	;
	295	5400037	156799.9973	1.609344	0.005678736	1	4	0	0	1	;
	296	3900856	492800.0108	3.154314301	2.8176E-05	1	4	0	0	1	;
	297	4200189	112000	9.784811397	0.002474729	1	4	0	0	1	;
	298	3900192	492800.0108	17.46138301	0.000925123	1	4	0	0	1	;
	299	3900931	492800.0108	1.963399726	0.003096383	1	4	0	0	1	;
	300	3900930	112000	3.025566712	0.003726609	1	4	0	0	1	;
	301	4200042	112000	1.078260507	0.001479043	1	4	0	0	1	;
	303	4200171	112000	14.25878729	0.013213589	1	4	0	0	1	;
	304	3900580	156799.9973	3.846332329	2.3449E-05	1	4	0	0	1	;
	305	3900356	537600.0213	4.409602575	0.000233521	1	4	0	0	1	;
	306	3600200	112000	2.494483123	0.000132101	1	4	0	0	1	;
	306	4200222	112000	18.36261479	0.002248712	1	4	0	0	1	;
	307	4200449	112000	0.225308161	4.169E-06	1	4	0	0	1	;
	309	4400020	112000	1.899025836	2.79429E-05	1	4	0	0	1	;
	310	3500024	537600.0213	36.37117501	0.011171749	1	4	0	0	1	;
	311	3500024	112000	46.05942663	0.018643286	1	4	0	0	1	;
	312	400050	537600.0213	56.64891003	0.000232435	1	4	0	0	1	;
	313	3200020	134400.0054	7.177674301	0.003760178	1	4	0	0	1	;
	314	4900001	134400.0054	14.58065732	5.98255E-05	1	4	0	0	1	;
	315	4900185	156799.9973	14.58065732	5.98255E-05	1	4	0	0	1	;
	316	600485	112000	9.736531507	0.006063923	1	4	0	0	1	;
	317	3200002	156799.9973	9.559503452	0.002310072	1	4	0	0	1	;
	319	3200099	492800.0108	6.276441753	2.57527E-05	1	4	0	0	1	;
	321	1600183	156799.9973	29.56365063	0.000121302	1	4	0	0	1	;
	322	4100001	156799.9973	2.430109425	9.97092E-06	1	4	0	0	1	;
	323	4100126	156799.9973	1.995586575	0.000504674	1	4	0	0	1	;
	324	4100183	537600.0213	2.430109425	0.002117888	1	4	0	0	1	;
	325	4100041	134400.0054	0.627644137	0.002676625	1	4	0	0	1	;
	326	4100277	156799.9973	34.26293523	0.001814673	1	4	0	0	1	;
	327	4100087	112000	8.915765699	0.003895982	1	4	0	0	1	;
	329	1600103	112000	1.641530849	3.03741E-05	1	4	0	0	1	;
	330	1600066	112000	5.680984274	5.07456E-05	1	4	0	0	1	;
	331	1600067	537600.0213	2.430109425	9.97092E-06	1	4	0	0	1	;
	332	5300163	112000	7.869691945	0.000145617	1	4	0	0	1	;
	333	5300150	112000	4.345228877	8.04021E-05	1	4	0	0	1	;
	335	1600051	112000	3.411809096	6.31305E-05	1	4	0	0	1	;
	336	1600168	112000	8.078906849	0.000118876	1	4	0	0	1	;
	337	3000309	156799.9973	10.94353951	0.001338616	1	4	0	0	1	;
	338	1600146	134400.0054	12.97131332	7.9079E-05	1	4	0	0	1	;
	339	1600147	112000	10.6538571	0.000197134	1	4	0	0	1	;
	339	5300187	112000	0.177027839	0.000616483	1	4	0	0	1	;
	340	3800150	112000	62.60348406	0.001158386	1	4	0	0	1	;
	341	3000185	156799.9973	3.588837151	0.00457716	1	4	0	0	1	;
	342	3000186	112000	7.773131397	0.000950938	1	4	0	0	1	;
	343	3800018	112000	0.273588483	0.00018166	1	4	0	0	1	;
	344	3800017	134400.0054	4.972872822	3.03169E-05	1	4	0	0	1	;
	345	3000169	134400.0054	21.83879759	0.004573229	1	4	0	0	1	;
	345	3800254	134400.0054	11.68383781	0.000104366	1	4	0	0	1	;
	346	3000010	112000	6.791431342	6.06647E-05	1	4	0	0	1	;
	347	3000248	156799.9973	7.419076055	3.0441E-05	1	4	0	0	1	;
	348	5600003	112000	4.457882849	3.98202E-05	1	4	0	0	1	;
	349	5600073	156799.9973	36.83788318	0.045787389	1	4	0	0	1	;
	350	5600001	112000	11.28150181	0.014022307	1	4	0	0	1	;
	351	3100182	112000	29.6441166	0.000436193	1	4	0	0	1	;
	352	3100269	156799.9973	19.5052491	8.00315E-05	1	4	0	0	1	;
	353	800001	537600.0213	10.81479134	4.43739E-05	1	4	0	0	1	;
	353	3100444	537600.0213	12.8103783	0.006303409	1	4	0	0	1	;
	354	3100452	537600.0213	15.5623566	6.38535E-05	1	4	0	0	1	;
	355	3100443	156799.9973	12.44022915	7.58413E-05	1	4	0	0	1	;
	356	2000333	112000	29.57974137	0.00054733	1	4	0	0	1	;
	357	2000332	112000	26.39324099	0.000235759	1	4	0	0	1	;
	358	2000476	134400.0054	21.42036932	0.000315186	1	4	0	0	1	;
	359	2000335	156799.9973	28.16352	0.000251572	1	4	0	0	1	;
	360	3800198	112000	1.963399726	8.94896E-05	1	4	0	0	1	;
	361	3800001	112000	13.8886389	0.000256989	1	4	0	0	1	;
	363	365	156799.9973	12.11836066	0.000108248	1	4	0	0	1	;
	364	608	156799.9973	2.591043863	2.92114E-05	1	4	0	0	1	;
	365	4600050	156799.9973	0.466709747	0.000239771	1	4	0	0	1	;
	366	4600054	112000	27.77727781	0.022729415	1	4	0	0	1	;
	367	3100325	112000	63.73001994	0.001179231	1	4	0	0	1	;
	368	3100125	112000	15.59454268	0.000288554	1	4	0	0	1	;
	369	2000166	112000	29.22568679	0.000430036	1	4	0	0	1	;
	374	2000182	537600.0213	12.98740559	5.32883E-05	1	4	0	0	1	;
	378	4800064	156799.9973	0.257495034	1.05652E-06	1	4	0	0	1	;
	379	4800849	156799.9973	11.31368866	0.006036448	1	4	0	0	1	;
	380	4800682	112000	6.260348329	0.005747477	1	4	0	0	1	;
	381	4801387	112000	7.081113753	0.004330263	1	4	0	0	1	;
	383	4801208	112000	11.4585291	0.007496611	1	4	0	0	1	;
	384	4801009	537600.0213	2.124334164	0.001830008	1	4	0	0	1	;
	385	4801008	112000	15.36923551	0.014242617	1	4	0	0	1	;
	386	5500034	112000	17.54184899	0.014353928	1	4	0	0	1	;
	387	5500509	156799.9973	2.816352	0.000277276	1	4	0	0	1	;
	388	2600718	112000	23.65735649	0.009843838	1	4	0	0	1	;
	389	5500064	112000	18.08902619	0.000266168	1	4	0	0	1	;
	390	1900266	134400.0054	1.303568644	0.003967422	1	4	0	0	1	;
	391	1900082	537600.0213	0.321868805	0.000286745	1	4	0	0	1	;
	392	1700745	492800.0108	0.756391678	3.10353E-06	1	4	0	0	1	;
	393	1701225	537600.0213	1.641530849	0.000237559	1	4	0	0	1	;
	394	1700274	112000	1.754185014	0.001562761	1	4	0	0	1	;
	395	1900057	537600.0213	0.386242551	1.58478E-06	1	4	0	0	1	;
	396	1900001	112000	0.434522897	0.001357346	1	4	0	0	1	;
	398	1900003	112000	21.16287299	0.003510797	1	4	0	0	1	;
	399	1900524	112000	2.236988137	3.29157E-05	1	4	0	0	1	;
	400	1700276	156799.9973	1.480596507	0.000646956	1	4	0	0	1	;
	401	1700740	156799.9973	0.788578575	4.80753E-06	1	4	0	0	1	;
	402	2900054	537600.0213	1.963399726	0.003050463	1	4	0	0	1	;
	403	2100371	156799.9973	3.073846986	0.001947809	1	4	0	0	1	;
	404	1700704	537600.0213	0.305775356	3.00995E-05	1	4	0	0	1	;
	404	2900311	537600.0213	0.289681932	0.000145755	1	4	0	0	1	;
	405	2900192	492800.0108	0.56327039	0.000814162	1	4	0	0	1	;
	406	1700738	112000	1.915119452	1.71069E-05	1	4	0	0	1	;
	408	4700358	134400.0054	2.526670164	0.002067453	1	4	0	0	1	;
	409	4700334	134400.0054	4.216481096	6.20426E-05	1	4	0	0	1	;
	410	4700333	156799.9973	2.317455452	9.50869E-06	1	4	0	0	1	;
	411	500250	112000	29.2417806	0.001332984	1	4	0	0	1	;
	412	500020	112000	38.27020143	0.003767195	1	4	0	0	1	;
	413	2200159	112000	24.96092581	0.000822426	1	4	0	0	1	;
	414	2200092	112000	25.10576701	0.000464546	1	4	0	0	1	;
	415	500010	156799.9973	35.405568	0.001071998	1	4	0	0	1	;
	417	500195	112000	26.00699879	0.00494486	1	4	0	0	1	;
	419	2200078	112000	29.51536921	0.000303747	1	4	0	0	1	;
	420	2800079	112000	25.70122411	0.010694389	1	4	0	0	1	;
	421	2800196	156799.9973	20.69616329	0.008376771	1	4	0	0	1	;
	422	2800110	112000	27.19791299	0.002677378	1	4	0	0	1	;
	423	2200444	134400.0054	10.76651145	0.000110758	1	4	0	0	1	;
	424	2200443	156799.9973	12.0057063	4.92603E-05	1	4	0	0	1	;
	425	100206	156799.9973	25.04139332	0.001326271	1	4	0	0	1	;
	426	2800038	112000	15.64282411	0.013475649	1	4	0	0	1	;
	428	1700997	112000	3.283061699	6.07483E-05	1	4	0	0	1	;
	429	1800776	537600.0213	0.386242551	1.58478E-06	1	4	0	0	1	;
	430	1800862	156799.9973	23.78610389	9.75961E-05	1	4	0	0	1	;
	431	1700205	112000	12.79428449	0.001564723	1	4	0	0	1	;
	432	1700204	112000	17.87981129	0.007439899	1	4	0	0	1	;
	433	1800646	156799.9973	7.081113753	2.90543E-05	1	4	0	0	1	;
	434	1700679	112000	4.119920548	0.002116633	1	4	0	0	1	;
	435	1700200	134400.0054	14.83815211	0.001460761	1	4	0	0	1	;
	436	1800817	134400.0054	1.142634205	0.000475442	1	4	0	0	1	;
	438	1700010	112000	14.80596449	0.001457507	1	4	0	0	1	;
	439	1700389	112000	3.331341973	5.23685E-05	1	4	0	0	1	;
	440	1800733	112000	6.437376	7.25444E-05	1	4	0	0	1	;
	441	1800231	448000	0.64373761	5.75021E-06	1	4	0	0	1	;
	442	1700401	537600.0213	8.835298192	3.62519E-05	1	4	0	0	1	;
	444	1700837	492800.0108	0.01609344	2.36804E-07	1	4	0	0	1	;
	444	1800292	492800.0108	4.924592548	7.2462E-05	1	4	0	0	1	;
	445	1800306	537600.0213	1.239194849	5.08451E-06	1	4	0	0	1	;
	447	1800533	156799.9973	11.95742564	0.000910598	1	4	0	0	1	;
	448	2100350	537600.0213	1.239194849	0.00066118	1	4	0	0	1	;
	449	1800001	112000	1.142634205	0.000217213	1	4	0	0	1	;
	450	4700043	112000	7.338608548	0.006922514	1	4	0	0	1	;
	451	4700042	112000	7.515636603	0.000139066	1	4	0	0	1	;
	452	2800088	112000	2.446202849	0.000354067	1	4	0	0	1	;
	453	2800005	156799.9973	9.961839452	4.08742E-05	1	4	0	0	1	;
